piso_llamada,direccion_llamada,piso_actual_asc_1,piso_actual_asc_2,direccion_actual_asc_1,direccion_actual_asc_2,destinos_pendientes_asc_1,destinos_pendientes_asc_2,personas_dentro_asc_1,personas_dentro_asc_2,tiempo_traslado_asc_1,tiempo_traslado_asc_2,ascensor_sel,cant_pisos
4,1,8,9,0,1,0,0,0,0,12,65,1,10
1,-1,3,5,0,0,0,0,0,0,6,12,1,10
4,1,6,7,1,-1,2,3,1,1,60,65,1,10
3,-1,2,3,1,0,7,0,1,0,67,0,2,10
5,-1,9,3,-1,1,4,1,1,1,20,58,1,10
5,1,2,3,1,1,1,2,1,1,11,10,2,10
6,1,5,4,-1,-1,2,3,1,1,107,112,1,10
2,1,3,9,-1,1,1,0,1,0,55,71,1,10
6,1,3,4,0,-1,0,3,0,1,9,112,1,10
5,-1,9,4,-1,0,3,0,1,0,18,3,2,10
5,-1,9,6,1,0,0,0,0,0,112,3,2,10
0,1,1,3,1,1,3,3,1,1,59,65,1,10
8,1,5,7,0,-1,0,6,0,1,9,115,1,10
9,-1,8,1,-1,-1,4,1,1,1,61,76,1,10
8,-1,5,2,0,0,0,0,0,0,9,18,1,10
2,-1,4,5,0,0,0,0,0,0,6,9,1,10
3,-1,5,2,-1,1,3,3,1,1,12,59,1,10
8,-1,4,9,-1,0,3,0,1,0,68,3,2,10
1,1,4,2,0,0,0,0,0,0,9,3,2,10
5,-1,4,1,0,-1,0,1,0,1,3,64,1,10
6,-1,8,1,0,0,0,0,0,0,6,15,1,10
1,-1,1,7,1,0,2,0,1,0,54,18,2,10
6,-1,4,4,1,1,5,5,1,1,66,66,1,10
6,1,1,7,-1,1,1,2,1,1,117,57,2,10
8,1,2,6,1,-1,2,6,1,1,22,118,1,10
0,-1,6,6,1,1,3,3,1,1,124,124,1,10
6,-1,6,9,1,0,1,0,1,0,52,9,2,10
5,1,2,2,-1,0,1,0,1,0,111,9,2,10
8,-1,8,6,1,1,1,3,1,1,52,62,1,10
4,-1,3,5,-1,1,2,4,1,1,57,111,1,10
1,-1,6,4,-1,0,1,0,1,0,17,9,2,10
6,1,6,8,1,0,3,0,1,0,6,6,1,10
7,1,5,1,1,0,4,0,1,0,14,18,1,10
0,-1,3,3,-1,1,1,3,1,1,11,115,1,10
5,1,8,8,0,0,0,0,0,0,9,9,1,10
0,-1,8,2,0,0,0,0,0,0,24,6,2,10
8,-1,7,6,-1,1,3,2,1,1,59,60,1,10
8,1,1,4,-1,0,1,0,1,0,123,12,2,10
3,1,2,2,0,1,0,1,0,1,3,5,1,10
0,1,5,3,1,0,4,0,1,0,73,9,2,10
4,-1,1,6,1,0,2,0,1,0,63,6,2,10
