piso_llamada,direccion_llamada,piso_actual_asc_1,piso_actual_asc_2,direccion_actual_asc_1,direccion_actual_asc_2,destinos_pendientes_asc_1,destinos_pendientes_asc_2,personas_dentro_asc_1,personas_dentro_asc_2,tiempo_traslado_asc_1,tiempo_traslado_asc_2,ascensor_sel,cant_pisos
9,1,1,8,0,0,0,0,0,0,24,3,2,10
0,1,7,3,1,-1,1,3,1,1,73,65,2,10
2,1,9,1,-1,-1,3,1,1,1,77,105,1,10
8,1,6,2,1,1,3,1,1,1,12,20,1,10
0,-1,2,8,1,1,3,1,1,1,112,126,1,10
8,-1,7,9,0,-1,0,5,0,1,3,13,1,10
5,-1,2,7,-1,0,2,0,1,0,63,6,2,10
0,-1,5,2,1,1,2,2,1,1,119,110,2,10
0,-1,4,5,0,0,0,0,0,0,12,15,1,10
1,1,2,5,-1,1,1,2,1,1,55,66,1,10
0,1,8,3,1,1,1,1,1,1,76,61,2,10
3,-1,3,2,1,0,4,0,1,0,58,3,2,10
9,1,8,2,1,0,1,0,1,0,5,21,1,10
4,1,1,2,1,-1,1,1,1,1,11,108,1,10
5,-1,3,9,-1,-1,1,9,1,1,58,30,2,10
8,1,9,8,1,-1,0,3,0,1,53,56,1,10
7,-1,2,8,-1,1,1,1,1,1,67,105,1,10
2,1,4,4,1,-1,3,4,1,1,62,64,1,10
3,-1,8,8,-1,0,7,0,1,0,29,15,2,10
4,1,4,3,0,1,0,2,0,1,0,7,1,10
7,-1,7,6,1,-1,2,6,1,1,54,65,1,10
8,-1,1,7,0,0,0,0,0,0,21,3,2,10
1,-1,3,8,0,0,0,0,0,0,6,21,1,10
5,1,5,9,1,1,3,0,1,0,6,62,1,10
9,-1,6,1,0,0,0,0,0,0,9,24,1,10
8,-1,7,4,0,-1,0,4,0,1,3,70,1,10
6,1,6,3,1,1,3,5,1,1,6,19,1,10
9,-1,1,3,-1,0,1,0,1,0,76,18,2,10
1,-1,4,9,-1,-1,4,1,1,1,17,26,1,10
2,1,8,2,-1,0,6,0,1,0,80,0,2,10
9,-1,4,7,-1,1,4,1,1,1,73,58,2,10
1,-1,2,4,1,-1,1,4,1,1,105,17,2,10
0,1,9,8,-1,-1,9,4,1,1,95,82,2,10
8,-1,9,5,1,-1,0,4,0,1,103,67,2,10
9,1,4,8,1,1,1,1,1,1,17,5,2,10
8,-1,1,7,1,0,6,0,1,0,83,3,2,10
7,1,4,1,1,1,4,2,1,1,17,22,1,10
3,1,4,8,0,1,0,1,0,1,3,67,1,10
9,-1,3,1,-1,-1,2,1,1,1,72,76,1,10
5,1,7,3,0,0,0,0,0,0,6,6,1,10
2,-1,2,6,1,0,4,0,1,0,58,12,2,10
3,1,9,4,-1,0,1,0,1,0,70,3,2,10
3,-1,5,3,0,0,0,0,0,0,6,0,2,10
9,1,3,1,-1,-1,2,1,1,1,122,126,1,10
1,1,3,4,0,-1,0,2,0,1,6,63,1,10
0,1,2,4,1,0,2,0,1,0,60,12,2,10
0,-1,1,8,1,-1,4,1,1,1,111,26,2,10
2,1,6,5,1,-1,2,5,1,1,66,69,1,10
6,1,3,5,0,-1,0,4,0,1,9,111,1,10
9,1,4,6,-1,-1,3,5,1,1,121,119,2,10
